Execution_code,Repo,Message,time
"1607957655.935041","No repo","Start: 2020-12-14 14:54:15.935041","1607957655.935333"
"1607957655.935041","No repo","Input file readed","1607957655.935501"
"1607957655.935041","No repo","Login done","1607957656.17322"
"1607957655.935041","CastellaniDavideTest/Test20-2020-2022-T-CI","- Get access to the repo for 4CI class, named Test20-2020-2022-T-CI","1607957656.813991"
"1607957655.935041","CastellaniDavideTest/Test20-2020-2022-T-CI","	- Welcome file already exists","1607957657.11297"
"1607957655.935041","CastellaniDavideTest/Test20-2020-2022-T-CI","	- Error creating a branch: 18576","1607957658.149795"
"1607957655.935041","CastellaniDavideTest/Test20-2020-2022-T-CI","	- Invited new user: 18576@studenti.marconiverona.edu.it","1607957658.17486"
"1607957655.935041","CastellaniDavideTest/Test20-2020-2022-T-CI","	- Invited new user to repo: 18576-Castellani-Davide","1607957658.341564"
"1607957655.935041","No repo","Ended: 2020-12-14 14:54:18.341637","1607957658.341672"
"1607957655.935041","No repo","Total time: 0:00:02.406641
","1607957658.341693"
